"order_id";"account_id";"bank_to";"account_to";"amount";"k_symbol"
29455;38;"QR";"79067885";2306.80;"UVER"
29456;38;"EF";"2692229";6901.00;"SIPO"
29457;38;"KL";"83435654";231.00;" "
29458;38;"OP";"64685678";228.00;"POJISTNE"
29459;39;"CD";"77015351";145.00;"SIPO"
29460;39;"WX";"949460";2970.00;"SIPO"
29461;40;"ST";"31161588";33.00;"SIPO"
29462;40;"MN";"96111678";4301.00;" "
29463;42;"CD";"1007766";4239.00;"SIPO"
29464;42;"KL";"55873340";239.00;" "
29465;42;"YZ";"38318204";1592.00;"POJISTNE"
29466;43;"CD";"89718746";6589.00;"SIPO"
29467;44;"GH";"11344862";2344.00;"SIPO"
29470;47;"KL";"76620852";6940.00;"SIPO"
29471;47;"KL";"37438374";174.00;" "
29472;47;"EF";"83359431";141.00;"POJISTNE"
29473;47;"UV";"30289006";9.00;" "
29474;48;"AB";"50218236";6268.00;"SIPO"
29475;48;"ST";"2071685";1029.00;" "
29476;49;"CD";"83233099";3102.00;"SIPO"
29477;50;"WX";"75148117";269.00;"SIPO"
29478;50;"UV";"17270559";7024.00;" "
29479;51;"KL";"71050131";2074.00;"SIPO"
29480;51;"KL";"74449389";2057.00;" "
29481;52;"EF";"6008005";560.00;"SIPO"
29482;52;"QR";"85721850";3723.00;" "
29483;53;"MN";"81024360";2851.00;"SIPO"
29484;54;"IJ";"90659772";2280.00;"SIPO"
29485;55;"EF";"53077900";3086.00;"SIPO"
29486;56;"KL";"73539948";8080.00;"SIPO"
29487;57;"YZ";"55066728";4107.00;"SIPO"
29489;59;"IJ";"38201576";695.00;"SIPO"
29490;59;"ST";"65394794";6190.00;" "
29493;61;"EF";"20533621";1645.00;"SIPO"
29494;61;"IJ";"20426410";668.00;"SIPO"
29495;62;"EF";"80010622";2273.00;"SIPO"
29496;63;"CD";"85474604";2237.00;"SIPO"
29497;63;"EF";"8346772";157.00;"SIPO"
29498;65;"YZ";"74934333";686.00;"SIPO"
29499;65;"CD";"20976132";3315.00;" "
29500;65;"GH";"7764506";3401.00;"POJISTNE"
29501;66;"GH";"17993182";4471.30;"LEASING"
29502;67;"YZ";"45128363";6915.00;"UVER"
29503;67;"YZ";"57342255";6393.00;"SIPO"
29504;67;"UV";"59079301";445.00;" "
29505;68;"WX";"86834001";1705.00;"SIPO"
29506;68;"IJ";"8292192";1186.00;" "
29507;68;"ST";"34692824";137.00;"POJISTNE"
29508;68;"MN";"92248808";61.00;" "
29509;70;"KL";"7699788";4150.00;"SIPO"
29510;71;"YZ";"53903484";968.00;"SIPO"
29511;71;"IJ";"11544728";1602.00;" "
29512;71;"OP";"9098768";1011.00;"POJISTNE"
29513;71;"QR";"34794885";778.00;" "
29514;72;"OP";"43079012";2923.00;"LEASING"
29515;72;"EF";"69338589";7109.00;"SIPO"
29516;72;"ST";"8297068";2286.00;" "
29517;73;"CD";"67077487";6061.00;"SIPO"
29522;75;"IJ";"74818038";3369.00;"SIPO"
29523;76;"MN";"98325132";5208.00;"SIPO"
29524;77;"ST";"28454154";1709.00;"LEASING"
29525;78;"WX";"32111394";9039.00;"SIPO"
29526;79;"CD";"15471804";2788.00;"SIPO"
29527;80;"IJ";"85687774";2252.00;"SIPO"
29528;81;"QR";"18026441";1765.00;"SIPO"
29529;81;"MN";"28429049";62.00;" "
29530;81;"GH";"62443947";229.00;"POJISTNE"
29531;83;"AB";"26468819";2210.00;"SIPO"
29532;83;"EF";"41590857";3940.00;" "
29533;84;"ST";"33353132";1709.00;"LEASING"
29534;84;"ST";"18454540";12452.00;"SIPO"
29535;85;"IJ";"65366345";3831.00;"SIPO"
29536;85;"OP";"81823444";1792.00;"LEASING"
29537;86;"WX";"36292475";1002.00;"SIPO"
29538;86;"MN";"48764252";1160.00;" "
29541;88;"ST";"72993069";2268.00;"SIPO"
29542;90;"ST";"68375611";2774.00;"SIPO"
29543;90;"UV";"90134667";2375.00;" "
29544;90;"MN";"89044069";4372.00;"POJISTNE"
29545;90;"YZ";"2028567";361.00;" "
29554;96;"CD";"62272125";4422.10;"LEASING"
29555;96;"QR";"83610647";908.00;"SIPO"
29556;96;"WX";"41707503";2140.00;" "
29557;96;"EF";"49409562";46.00;"POJISTNE"
29558;96;"EF";"66311460";644.00;" "
29559;97;"ST";"69820374";1436.00;"SIPO"
29560;97;"CD";"33796209";2411.00;" "
29561;97;"ST";"83123987";3.00;"POJISTNE"
29562;97;"CD";"94469666";15.00;" "
29563;97;"MN";"9693319";8573.00;"UVER"
29564;98;"CD";"94078754";1569.00;"SIPO"
29565;98;"WX";"95535426";749.00;"SIPO"
29566;99;"CD";"38411343";4503.00;"SIPO"
29567;99;"EF";"26847303";4682.00;" "
29568;100;"UV";"6381905";598.00;"SIPO"
29569;100;"GH";"16341108";7329.00;" "
29570;101;"KL";"10926431";8037.00;"SIPO"
29571;101;"GH";"26152324";855.00;" "
29572;102;"EF";"24946403";7370.20;"UVER"
29573;102;"KL";"63927906";3373.00;"SIPO"
29574;102;"UV";"97521966";377.00;" "
29575;103;"MN";"2646291";7370.20;"UVER"
29576;104;"MN";"82782172";578.00;"SIPO"
29577;104;"ST";"8965999";1464.00;" "
29578;105;"UV";"58251345";7348.00;"UVER"
29579;106;"WX";"46916538";3735.00;"SIPO"
29580;107;"IJ";"67744958";2015.00;"SIPO"
29581;107;"IJ";"9999049";1580.00;" "
29582;107;"QR";"80934089";959.00;"POJISTNE"
29583;108;"CD";"62673318";4803.00;"SIPO"
29584;110;"OP";"24390584";3050.00;"SIPO"
29585;110;"YZ";"18149984";98.00;" "
29586;110;"ST";"14772266";4516.00;"UVER"
29589;112;"AB";"41812431";2051.00;"SIPO"
29590;113;"GH";"11191487";3146.00;"SIPO"
29591;114;"QR";"78667527";1590.00;"SIPO"
29592;114;"MN";"90660798";533.00;"SIPO"
29593;115;"EF";"51975733";5110.00;"SIPO"
29594;116;"KL";"99229424";5529.00;"SIPO"
29595;116;"ST";"16828024";927.00;"LEASING"
29596;117;"CD";"59419953";2329.00;"SIPO"
29597;118;"IJ";"51605445";2449.00;"SIPO"
29598;119;"ST";"21662587";8252.00;"SIPO"
29599;120;"YZ";"74934506";1899.00;"LEASING"
29600;120;"ST";"36501592";3965.00;"SIPO"
29601;121;"YZ";"81156724";794.00;"SIPO"
29602;121;"UV";"93935125";929.00;" "
29603;121;"MN";"91729092";393.00;"POJISTNE"
29604;123;"KL";"97764080";3016.00;"SIPO"
29605;124;"IJ";"11366123";447.00;"SIPO"
29606;124;"OP";"51247948";575.00;" "
29607;124;"OP";"34663748";971.00;"POJISTNE"
29608;125;"IJ";"14166999";4422.10;"LEASING"
29609;126;"WX";"62923598";7384.00;"SIPO"
29610;127;"YZ";"11707830";2242.00;"SIPO"
29611;129;"IJ";"69084489";3417.00;"SIPO"
29612;130;"IJ";"2152455";3969.00;"SIPO"
29613;131;"UV";"29374742";6904.00;"SIPO"
29614;132;"WX";"80542558";7370.20;"UVER"
29615;133;"OP";"90329002";3094.00;"LEASING"
29616;133;"EF";"45379865";4943.00;"SIPO"
29617;133;"CD";"30067122";5123.00;" "
29618;136;"MN";"78733890";2932.00;"SIPO"
29619;137;"GH";"71138578";3464.00;"SIPO"
29620;137;"UV";"34738314";787.00;" "
29621;141;"KL";"30588215";3016.50;"LEASING"
29622;141;"KL";"65986662";3462.00;"SIPO"
29623;141;"WX";"71174192";1791.00;" "
29624;141;"GH";"86448645";6716.00;"POJISTNE"
29625;142;"YZ";"23734498";1845.00;"SIPO"
29626;143;"YZ";"81564402";2272.00;"SIPO"
29627;145;"GH";"81546359";4815.00;"SIPO"
29628;146;"AB";"76565843";3823.00;"SIPO"
29631;148;"KL";"29826498";487.00;"SIPO"
29632;148;"GH";"99004148";89.00;" "
29633;148;"QR";"85938459";1736.00;"POJISTNE"
29634;151;"QR";"2754378";411.00;"SIPO"
29635;151;"KL";"77260404";2668.00;" "
29636;152;"OP";"21928644";426.00;"SIPO"
29637;152;"OP";"16610890";2993.00;" "
29638;153;"UV";"6886673";4544.00;"SIPO"
29639;154;"MN";"1314569";3891.00;"SIPO"
29640;155;"KL";"13971645";2988.00;"SIPO"
29641;156;"QR";"93965810";2030.00;"SIPO"
29642;157;"AB";"14697784";3991.00;"SIPO"
29643;158;"ST";"61129736";3420.00;"SIPO"
29644;159;"GH";"1882386";8694.00;"SIPO"
29645;160;"QR";"52787989";2374.00;"SIPO"
29646;160;"ST";"8854127";5552.00;" "
29647;161;"GH";"17877823";1389.00;"SIPO"
29648;161;"WX";"62378322";892.00;"SIPO"
29649;162;"GH";"1325488";3458.00;"SIPO"
29650;163;"UV";"86180990";3116.00;"SIPO"
29651;163;"IJ";"8512616";612.00;"SIPO"
29652;165;"OP";"71082353";1788.00;"SIPO"
29653;166;"QR";"26919090";3044.00;"SIPO"
29654;168;"WX";"47454333";2013.00;"SIPO"
29655;169;"IJ";"71273207";4975.00;"SIPO"
29656;169;"KL";"15956706";696.00;"LEASING"
29657;171;"UV";"5356938";3486.00;"SIPO"
29658;172;"OP";"11598539";4221.00;"SIPO"
29659;173;"KL";"95605074";6256.00;"SIPO"
29660;173;"KL";"26238835";1428.00;" "
29661;173;"CD";"85405385";735.00;"POJISTNE"
29662;173;"CD";"50065535";189.00;" "
29663;173;"UV";"38819456";8734.00;"UVER"
29664;174;"QR";"73784321";2139.00;"SIPO"
29667;176;"GH";"53236597";2288.30;"UVER"
29668;176;"AB";"55640232";4564.00;"SIPO"
29669;176;"OP";"90734010";36.00;" "
29670;176;"QR";"11736327";97.00;"POJISTNE"
29671;178;"OP";"16301811";1482.00;"SIPO"
29672;178;"ST";"1946038";505.00;" "
29673;179;"UV";"16450244";7615.00;"SIPO"
29674;179;"IJ";"47684144";1066.00;" "
29675;179;"AB";"11941713";378.00;"POJISTNE"
29676;179;"OP";"39081686";4608.00;" "
29677;181;"KL";"66975450";6780.00;"SIPO"
29678;183;"AB";"5552345";5202.00;"SIPO"
29679;183;"GH";"85986530";752.00;" "
29680;184;"IJ";"65986150";1623.00;"LEASING"
29681;185;"IJ";"14592427";6526.00;"SIPO"
29682;186;"GH";"83964973";6862.00;"SIPO"
29683;187;"UV";"39898049";2798.00;"SIPO"
29684;188;"AB";"26629168";7426.00;"SIPO"
29685;189;"GH";"54808670";4244.00;"SIPO"
29686;189;"OP";"28932172";750.00;" "
29687;189;"MN";"76972424";360.00;"POJISTNE"
29688;190;"YZ";"24279922";4519.00;"SIPO"
29689;190;"WX";"3125066";3233.00;" "
29690;190;"WX";"5304331";42.00;"POJISTNE"
29691;190;"YZ";"50605297";1316.00;" "
29692;191;"YZ";"89219265";4420.90;"LEASING"
29693;192;"IJ";"70552640";3583.00;"SIPO"
29694;193;"QR";"21547550";7110.00;"SIPO"
29695;194;"CD";"39405787";2648.00;"SIPO"
29696;195;"AB";"37868559";6260.00;"SIPO"
29697;196;"MN";"84787642";1270.00;"SIPO"
29698;196;"AB";"90261184";4417.00;" "
29699;196;"KL";"30200135";2554.00;"POJISTNE"
29700;196;"IJ";"21173686";385.00;" "
29701;197;"EF";"67286312";9454.00;"SIPO"
29702;198;"MN";"67775189";700.00;"SIPO"
29703;198;"QR";"64557379";2166.00;"SIPO"
29704;199;"CD";"15875643";1984.00;"SIPO"
29705;201;"OP";"34061867";9584.00;"SIPO"
29711;204;"UV";"59721839";1950.00;"SIPO"
29712;205;"AB";"99149345";4297.00;"SIPO"
29713;206;"KL";"75771987";2902.00;"SIPO"
29714;207;"KL";"71656483";403.00;"SIPO"
29715;207;"GH";"4786676";10.00;" "
29716;207;"AB";"83722591";2726.00;"POJISTNE"
29717;208;"AB";"9118587";4148.00;"SIPO"
29718;208;"CD";"77937751";1767.00;" "
29719;208;"UV";"98481541";986.00;"POJISTNE"
29720;208;"OP";"28241002";545.00;" "
29721;209;"QR";"17469549";483.00;"SIPO"
29722;209;"EF";"52778792";41.00;" "
29723;209;"KL";"1601225";1796.00;"POJISTNE"
29724;210;"IJ";"24753552";7534.00;"SIPO"
29725;211;"IJ";"2884138";2394.00;"LEASING"
29726;212;"EF";"58462047";13841.00;"SIPO"
29727;213;"EF";"4553950";5625.00;"SIPO"
29728;214;"EF";"26426023";2097.00;"SIPO"
29729;215;"MN";"65896379";2121.00;"SIPO"
29730;216;"KL";"85333066";1486.00;"SIPO"
29731;216;"GH";"38205874";1513.00;"SIPO"
29732;217;"CD";"23454666";3459.00;"SIPO"
29733;217;"YZ";"55710929";653.00;"LEASING"
29734;218;"IJ";"10956299";3182.00;"LEASING"
29735;219;"GH";"77167427";2336.00;"SIPO"
29736;219;"OP";"33257001";2988.00;" "
29737;220;"QR";"26923066";3095.00;"SIPO"
29738;221;"CD";"98228793";7896.00;"SIPO"
29739;222;"WX";"52384513";3440.90;"LEASING"
29740;224;"EF";"63218277";3503.00;"SIPO"
29741;225;"MN";"74407583";3383.00;"SIPO"
29742;225;"KL";"93545496";2.00;" "
29743;226;"UV";"29971635";8928.00;"SIPO"
29744;226;"GH";"39824432";9112.00;"UVER"
29745;227;"GH";"28972292";9381.00;"SIPO"
29746;228;"QR";"78199761";1946.00;"SIPO"
29747;228;"EF";"26569271";2158.00;" "
29748;229;"ST";"55160808";2505.00;"SIPO"
29749;230;"ST";"66906124";5615.00;"SIPO"
29750;230;"AB";"95935326";1527.00;" "
29751;230;"KL";"3922403";1058.00;"POJISTNE"
29752;231;"WX";"51732343";2073.00;"SIPO"
29753;232;"KL";"62672704";3643.00;"SIPO"
29755;234;"MN";"20655334";2809.00;"SIPO"
29756;235;"MN";"79934978";895.00;"SIPO"
29757;235;"KL";"52539473";1321.00;" "
29758;237;"AB";"13233763";152.00;"SIPO"
29759;237;"AB";"58324587";1788.00;" "
29760;238;"IJ";"39059901";2234.00;"SIPO"
29761;239;"CD";"96977406";1042.00;"SIPO"
29762;239;"MN";"30218410";5995.00;" "
29763;239;"IJ";"47741246";152.00;"POJISTNE"
29764;240;"WX";"50178039";9621.00;"SIPO"
29765;240;"OP";"22710114";1050.00;"LEASING"
29766;241;"QR";"28285497";1344.00;"SIPO"
29767;241;"MN";"27381342";632.00;" "
29768;241;"EF";"14364838";610.00;"POJISTNE"
29769;242;"WX";"23104387";1062.00;"SIPO"
29770;242;"WX";"62032568";2977.00;" "
29771;243;"KL";"55282419";1041.00;"LEASING"
29772;243;"GH";"73269855";3067.00;"SIPO"
29773;244;"MN";"74832015";2190.00;"SIPO"
29774;244;"OP";"78948193";226.00;" "
29775;244;"GH";"7008588";232.00;"POJISTNE"
29776;246;"YZ";"8283996";1970.00;"SIPO"
29780;248;"AB";"15760773";2484.90;"LEASING"
29781;249;"OP";"26255619";5618.00;"SIPO"
29782;249;"GH";"99770348";1876.00;" "
29783;250;"WX";"24246722";3066.00;"SIPO"
29784;251;"AB";"92959981";3059.00;"SIPO"
29785;252;"CD";"91842740";1767.00;"SIPO"
29788;255;"WX";"88934081";5323.00;"SIPO"
29789;257;"ST";"61510014";3816.70;"LEASING"
29790;257;"GH";"22533124";14166.00;"SIPO"
29791;258;"KL";"37360865";3737.00;"SIPO"
29792;259;"MN";"86616670";297.00;"SIPO"
29793;259;"EF";"8156723";2857.00;"SIPO"
29794;260;"GH";"71713226";5247.00;"SIPO"
29795;261;"IJ";"49824553";2182.00;"SIPO"
29796;261;"ST";"63415229";371.00;" "
29797;263;"WX";"73582678";6145.00;"SIPO"
29798;264;"YZ";"19889706";3307.00;"SIPO"
29799;265;"EF";"28306174";2900.00;"SIPO"
29800;266;"WX";"96796440";4975.20;"LEASING"
29801;267;"KL";"4520118";3074.00;"SIPO"
29802;268;"OP";"4418570";3121.00;"SIPO"
29803;269;"QR";"7832789";456.00;"SIPO"
29804;269;"YZ";"55865961";1690.00;" "
29805;270;"QR";"95370232";5462.00;"SIPO"
29806;271;"QR";"67201065";1535.00;"SIPO"
29807;272;"IJ";"15116119";7454.00;"SIPO"
29808;273;"ST";"77701490";1320.10;"LEASING"
29809;273;"OP";"80156594";5965.00;"SIPO"
29810;273;"EF";"85742187";178.00;" "
29811;273;"YZ";"15870309";1836.00;"POJISTNE"
29812;274;"ST";"91567790";9886.00;"SIPO"
29813;275;"CD";"46536463";198.00;"SIPO"
29814;275;"UV";"60457825";2062.00;" "
29815;276;"AB";"22070646";4470.50;"UVER"
29816;276;"EF";"80801391";5212.00;"SIPO"
29817;277;"ST";"67316442";2682.30;"LEASING"
29818;278;"IJ";"93538832";3362.00;"SIPO"
29819;278;"MN";"5409831";676.00;"LEASING"
29820;279;"EF";"46485179";624.00;"SIPO"
29821;279;"QR";"68556356";1380.00;" "
29822;280;"KL";"10603589";3334.00;"SIPO"
29823;280;"UV";"1495051";4694.00;" "
29824;280;"QR";"42263525";957.00;"LEASING"
29825;281;"CD";"31156671";5578.00;"SIPO"
29826;282;"GH";"6997305";7531.00;"SIPO"
29827;282;"AB";"4248011";802.00;" "
29828;283;"OP";"9780645";2802.00;"SIPO"
29829;284;"EF";"34219330";5629.00;"SIPO"
29830;285;"UV";"52409064";667.00;"LEASING"
29831;286;"ST";"3664666";9848.00;"SIPO"
29832;287;"CD";"57389086";772.00;"SIPO"
29833;287;"EF";"36382317";1572.00;"SIPO"
29834;288;"WX";"29425543";3257.00;"SIPO"
29835;288;"QR";"97550320";207.00;"SIPO"
29836;289;"AB";"78823619";5745.00;"SIPO"
29837;289;"OP";"72798836";2621.00;" "
29838;290;"YZ";"60961633";2577.00;"UVER"
29839;290;"UV";"10382223";2653.00;"SIPO"
29840;290;"IJ";"5267882";3274.00;" "
29841;291;"YZ";"46721518";1941.90;"LEASING"
29842;291;"EF";"31507086";62.00;"SIPO"
29843;291;"YZ";"27026367";12925.00;" "
29844;292;"KL";"722319";1986.00;"SIPO"
29845;293;"QR";"11480212";1636.00;"SIPO"
29846;293;"QR";"85708903";845.00;" "
29847;293;"EF";"34143477";1366.00;"POJISTNE"
29848;294;"MN";"91239595";5842.00;"SIPO"
29849;294;"KL";"94949411";145.00;" "
29850;294;"IJ";"58432865";430.00;"POJISTNE"
29851;294;"UV";"58291846";156.00;" "
29852;295;"AB";"78368478";6992.00;"SIPO"
29853;296;"AB";"63953745";2646.00;"SIPO"
29854;300;"YZ";"46045607";1628.00;"SIPO"
29855;301;"IJ";"99728369";1950.00;"SIPO"
29856;302;"ST";"12600803";3236.00;"SIPO"
29857;303;"KL";"43664085";3803.00;"SIPO"
29858;303;"UV";"25709551";3132.00;"UVER"
29859;304;"AB";"27760046";14367.00;"SIPO"
29860;305;"ST";"77063089";2953.00;"SIPO"
29861;306;"IJ";"70354622";3657.00;"SIPO"
29862;308;"CD";"17178321";1284.00;"LEASING"
29863;309;"UV";"74396675";1901.00;"UVER"
29865;311;"CD";"93944477";4777.00;"SIPO"
29866;311;"WX";"80353498";371.00;" "
29867;311;"GH";"47159934";3375.00;"POJISTNE"
29868;311;"YZ";"37490087";355.00;" "
29869;311;"YZ";"67794364";422.00;"UVER"
29870;312;"WX";"31189668";7814.00;"SIPO"
29871;313;"GH";"6982702";2294.00;"SIPO"
29872;314;"WX";"56231456";2785.00;"UVER"
29873;314;"KL";"99187093";13691.00;"SIPO"
29874;315;"MN";"6354302";3509.00;"UVER"
29875;317;"QR";"93325268";3068.00;"SIPO"
29876;318;"GH";"74740838";2858.00;"SIPO"
29877;319;"GH";"41618597";6149.50;"UVER"
29878;319;"KL";"87909203";1057.00;"SIPO"
29879;319;"KL";"32717514";2196.00;" "
29880;319;"AB";"559258";416.00;"POJISTNE"
29881;321;"UV";"44067668";1876.00;"SIPO"
29882;322;"ST";"4537106";6550.00;"SIPO"
29883;323;"GH";"65761726";3025.00;"SIPO"
29884;324;"OP";"83596694";1785.00;"SIPO"
29885;324;"KL";"19554490";284.00;"SIPO"
29886;325;"GH";"69376104";2741.00;"SIPO"
29887;326;"MN";"44978225";1881.00;"SIPO"
29888;326;"EF";"63815659";1567.00;"SIPO"
29889;327;"OP";"86823993";3252.00;"SIPO"
29890;327;"IJ";"47999680";3805.00;" "
29891;328;"OP";"10446250";1287.00;"SIPO"
29892;328;"GH";"3014916";1145.00;"SIPO"
29893;329;"GH";"73389369";792.00;"SIPO"
29894;329;"UV";"23747241";3110.00;" "
29895;330;"OP";"23515820";6908.00;"UVER"
29896;331;"UV";"55443829";3528.00;"SIPO"
29897;332;"MN";"6061673";2385.00;"SIPO"
29898;333;"QR";"71807402";1634.00;"SIPO"
29899;333;"QR";"42206424";72.00;" "
29900;333;"AB";"13184309";292.00;"POJISTNE"
29901;334;"IJ";"5579948";2374.00;"SIPO"
29902;334;"MN";"37566691";1168.00;" "
29903;335;"GH";"80065911";2697.00;"SIPO"
29904;336;"AB";"40453487";4067.00;"SIPO"
29905;338;"AB";"37576079";2252.00;"SIPO"
29906;339;"OP";"60226070";7801.20;"UVER"
29907;339;"WX";"52391654";4087.00;"SIPO"
29908;339;"IJ";"21728092";48.00;" "
29909;340;"CD";"26790029";917.00;"SIPO"
29910;340;"YZ";"80708729";901.00;"SIPO"
29911;342;"KL";"44861531";2332.00;"SIPO"
29912;343;"QR";"15103727";2505.00;"SIPO"
29913;344;"WX";"47483712";4739.00;"SIPO"
29914;344;"CD";"77219027";1683.00;"UVER"
29915;345;"QR";"68522327";8819.00;"SIPO"
29916;346;"KL";"13685655";7875.00;"SIPO"
29917;347;"CD";"37914210";7801.20;"UVER"
29918;349;"ST";"83005469";4660.00;"SIPO"
29919;349;"YZ";"66345286";3568.00;"UVER"
29920;350;"AB";"77066629";3791.00;"SIPO"
29921;352;"KL";"56583434";1992.00;"SIPO"
29922;353;"UV";"38371622";2687.00;"SIPO"
29923;353;"CD";"53546470";879.00;"SIPO"
29924;354;"UV";"38533955";4771.00;"SIPO"
29925;355;"WX";"5620038";5012.00;"SIPO"
29926;355;"GH";"28271162";2927.00;" "
29927;356;"GH";"75963014";4188.00;"SIPO"
29928;357;"EF";"3304052";1788.00;"SIPO"
29929;357;"IJ";"44572526";280.00;" "
29930;358;"UV";"86354624";532.00;"SIPO"
29931;358;"ST";"65233623";1434.00;" "
29932;358;"ST";"94764554";27.00;"POJISTNE"
29933;358;"ST";"94047659";73.00;" "
29934;359;"UV";"86209541";3544.00;"SIPO"
29935;361;"YZ";"95369791";1941.00;"SIPO"
29936;361;"ST";"59163767";1388.00;" "
29937;362;"ST";"76221531";6001.00;"SIPO"
29938;362;"ST";"91743081";292.00;" "
29939;362;"EF";"62852764";68.00;"POJISTNE"
29940;364;"ST";"39232927";2221.00;"SIPO"
29941;365;"YZ";"84520810";1766.00;"LEASING"
29942;365;"QR";"34196335";11528.00;"SIPO"
29943;365;"QR";"93025660";1782.00;" "
29944;365;"UV";"12044257";5.00;"POJISTNE"
29945;365;"UV";"89672892";9.00;" "
29946;366;"IJ";"75874721";2442.00;"SIPO"
29947;366;"YZ";"11380994";1914.00;" "
29948;366;"QR";"29283583";836.00;"POJISTNE"
29949;366;"ST";"68747752";3188.00;" "
29950;367;"KL";"59022962";6384.00;"SIPO"
29951;368;"ST";"13122338";4381.00;"SIPO"
29952;368;"EF";"27974027";742.00;" "
29953;368;"UV";"35746020";269.00;"POJISTNE"
29954;368;"YZ";"33245110";217.00;" "
29955;368;"UV";"35739392";1071.00;"LEASING"
29959;370;"MN";"39040500";215.00;"SIPO"
29960;370;"EF";"39893967";1188.00;" "
29961;370;"KL";"57786190";672.00;"POJISTNE"
29962;372;"ST";"65089881";7785.00;"SIPO"
29963;372;"MN";"83496254";2148.00;" "
29964;373;"OP";"55648291";6452.00;"SIPO"
29965;375;"KL";"32626718";3824.00;"SIPO"
29966;376;"IJ";"32540393";7097.00;"SIPO"
29967;378;"MN";"28203147";3840.20;"UVER"
29968;378;"KL";"6934583";8537.00;"SIPO"
29969;378;"AB";"85313254";1184.00;" "
29970;378;"ST";"70710897";2.00;"POJISTNE"
29971;378;"KL";"23140502";4.00;" "
29972;379;"CD";"35418421";1561.00;"SIPO"
29973;379;"CD";"30392295";434.00;" "
29974;379;"GH";"42905002";177.00;"POJISTNE"
29975;379;"IJ";"80296814";312.00;" "
29979;382;"IJ";"24703598";2235.00;"SIPO"
29980;382;"OP";"26432061";27.00;" "
29981;382;"MN";"87132888";14.00;"POJISTNE"
29982;383;"EF";"90773456";2057.00;"SIPO"
29983;384;"MN";"48816210";2304.10;"LEASING"
29984;385;"WX";"28537345";2160.00;"SIPO"
29985;385;"ST";"91164779";31.00;" "
29986;385;"GH";"79315310";121.00;"POJISTNE"
29987;386;"CD";"39887976";4711.00;"SIPO"
29988;388;"CD";"48455613";6524.00;"SIPO"
29989;389;"KL";"8779210";884.00;"SIPO"
29990;389;"WX";"25948596";3280.00;" "
29991;390;"YZ";"24210876";4977.00;"SIPO"
29992;392;"GH";"99824958";1407.00;"SIPO"
29993;392;"WX";"27344715";5663.00;" "
29994;393;"AB";"10808188";302.00;"SIPO"
29995;393;"AB";"27135431";5920.00;" "
30001;395;"YZ";"55113202";3871.00;"SIPO"
30002;395;"GH";"73209607";4036.00;" "
30003;395;"WX";"8607322";828.00;"LEASING"
30004;396;"UV";"71221321";5245.00;"SIPO"
30005;396;"GH";"26179212";68.00;" "
